,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.0025,1.00E-05,0.01,0.000766284,0.089123368,2.492149591,6.314660388,0.001175607,0.001334974,0.001432126,0.001876529,0.003216914,0.004418961,0.012539024,T.25D0.1d.1Case,500000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00217,1000,0,0,0.0066,1.00E-05,0.01,0.000698846,0.034103848,4.965855122,26.59225724,0.004975774,0.005399983,0.00559248,0.006022013,0.006578775,0.007013053,0.013531565,T.66D0.66d.4356Case,362000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.005,1000,0,0,0.02,1.00E-05,0.01,0.00255434,0.030955818,4.038840294,19.47497058,0.010741221,0.011411563,0.011744588,0.012567683,0.013562132,0.014330422,0.024233347,T2D1d1Case,500000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00108,1000,0,0,0.0033,1.00E-05,0.01,0.000944875,0.085124686,2.541331768,6.4788119,0.00284808,0.003129456,0.003302351,0.003795397,0.004713766,0.00573114,0.014529077,T.33D0.33d.2178Case,429000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00054,1000,0,0,0.00825,1.00E-05,0.01,0.185165718,0.251499295,1.258300066,1.288994883,0.005230972,0.00715952,0.008005152,0.009687582,0.011405697,0.012583606,0.021412018,T.825D0.33d.1089Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00165,1000,0,0,0.0099,1.00E-05,0.01,0.000302424,0.059434108,3.705970049,15.14024537,0.003739561,0.00404519,0.004203007,0.004601494,0.005155334,0.005733945,0.013226151,T.99D0.33d.33Case,423000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.003,1.00E-05,0.01,0.085656233,0.161948398,1.634858131,2.388489101,0.001173638,0.002632921,0.003570019,0.005513817,0.007393431,0.008608196,0.016873868,T.3D0.1d.066Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.0033,1000,0,0,0.0099,1.00E-05,0.01,0.0015751,0.010206126,7.352554321,64.85476638,0.00694224,0.007293881,0.007496127,0.007973812,0.008528084,0.008920567,0.013181324,T.990D0.66d.66Case,500000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00054,1000,0,0,0.0066,1.00E-05,0.01,0.191008195,0.257971108,1.218434453,1.142050185,0.005383451,0.007138031,0.007937973,0.009611818,0.011363651,0.012581893,0.021533736,T.66D0.33d.1089Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00108,1000,0,0,0.0165,1.00E-05,0.01,0.325249076,0.388143629,0.882117629,0.304719686,0.009628632,0.011641427,0.01251798,0.014390276,0.016411816,0.017849627,0.028430185,T1.650D0.66d.2178Case,500000,FALSE
