Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged,Particle_Volume,Particle_Mass,particle_diameter_BY_pore_size,particle_diameter_BY_Thickness,particle_diameter_BY_sphere_diameter,pore_size_BY_sphere_diameter,thickness_BY_pore_size,U_scaled,AAND,AWND,Throat_Flux,log(nu),Volume_Fraction,Umedian_BY_Umean,ResTime,U,pore_size_std_BY_pore_size,sphere_size_std_BY_pore_size,D10,D25,D33,D50,D66,D75,D100,Clogging_Number
0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00125,10000,0,0,0.0025,1.00E-05,0.01,0.001199924,0.017240657,6.876389503,51.83345592,0.002592215,0.002701008,0.002769752,0.002944463,0.003142823,0.003286314,0.005066137,C10000D0.25d.25Case,2.65,1,8.18E-09,2.45E-05,0.939776491,1,0.149963763,0.159573861,0.939776491,4.10E-07,0,0,22936.83312,-5,0.435979978,0.069598508,9,277.226576,0.39599537,1.950875759,19.24160125,25.97454125,28.3114925,32.86472875,37.46247625,40.59158625,62.6583525,27.93501496
0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00192,12000,0,500000,0.007,1.00E-05,0.3,0.001278542,0.018814279,5.158256054,31.20025128,0.004011018,0.004185048,0.004285657,0.004529531,0.004817279,0.005026527,0.007073461,awE500000C12000D0.7dRatio0.55Case,2.02,1,2.96E-08,8.89E-05,0.532280453,0.548571429,0.22009126,0.413487399,0.970302909,7.61E-06,0,6643.282313,20991.2728,-5,0.571666145,0.067955939,4.131,185.3767412,0.309468756,2.532637635,3.882678261,4.610547826,5.001795652,6.056086957,7.656430435,9.128782609,27.41065652,0.37921104
0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00156,1000,0,0,0.0025,1.00E-05,0.01,0.00047788,0.01271144,8.30020237,75.33283713,0.003220348,0.003375806,0.003467821,0.003683737,0.003925163,0.004096658,0.006288501,R1D0.25d.3125Case,5,1,1.59E-08,4.77E-05,1.132530785,1.248,0.147633897,0.130357513,0.907476591,3.85E-06,0,0,2940.331411,-5,0.340097717,0.037594482,1.5,57.01876259,0.37619231,2.436474826,3.12554,12.363048,17.258872,26.419972,35.030848,40.460832,76.458716,16.42368244
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,300000,0,0.005,1.00E-05,0.15,0.001090574,0.011047955,6.957218647,57.04276974,0.00420477,0.004373535,0.0044732,0.004723186,0.005017016,0.005227567,0.007279066,aaE300000C5000D0.5dRatio0.8Case,3.93,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,3826.530612,0,9626.849045,-5,0.519380742,0.098712748,0.1,8.699850798,0.901784774,5.557080156,1.009472,1.712054,2.295362,5.469948,10.908874,14.531682,37.123566,0.06766621
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0013,12000,0,500000,0.004,1.00E-05,0.3,0.000975227,0.017699666,6.680949688,48.69495968,0.002705704,0.002820561,0.002893148,0.003070651,0.003275706,0.003422709,0.004979012,awE500000C12000D0.4dRatio0.65Case,2.32,1,9.20E-09,2.76E-05,0.627693802,0.65,0.151287814,0.241021679,0.965682773,7.33E-06,0,9811.616954,25699.78942,-5,0.466929896,0.05509861,0.543,29.12607786,0.253920176,1.249465051,0.355303,0.616137,0.762727,1.159468,1.753809,2.250084,6.312375,0.606687541
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0013,12000,0,100000,0.004,1.00E-05,0.3,0.001246737,0.01995014,6.311049461,44.14487939,0.002703399,0.002820478,0.00289478,0.003072972,0.003277806,0.003427248,0.005395485,awE100000C12000D0.4dRatio0.65Case,2.38,1,9.20E-09,2.76E-05,0.627693802,0.65,0.151287814,0.241021679,0.965682773,7.33E-06,0,1962.323391,25699.78942,-5,0.466929896,0.062492644,1.6808,135.8724183,0.763722805,3.716720213,0.502021951,1.100370732,1.673473171,3.709307317,6.400039024,8.34967561,21.92044146,1.603223018
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0013,12000,0,50000,0.004,1.00E-05,0.3,0.001489005,0.02193623,6.043165207,40.08885312,0.002704234,0.002821628,0.002896175,0.00307593,0.003283068,0.003432604,0.005386652,awE50000C12000D0.4dRatio0.65Case,2.36,1,9.20E-09,2.76E-05,0.627693802,0.65,0.151287814,0.241021679,0.965682773,7.33E-06,0,981.1616954,25699.78942,-5,0.466929896,0.067878801,0,0,0.39599537,1.950875759,27.3809325,31.8697,34.362345,39.76499,45.38279375,50.48066125,80.05975,26.31940992
0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.0025,2500,0,0,0.005,1.00E-05,0.01,0.001343317,0.01201966,6.80459547,56.44899096,0.005218441,0.005438876,0.005575948,0.005917862,0.006308516,0.00658507,0.009715683,C2500D0.5d.5Case,4.37,1,6.54E-08,0.000196349,0.951495427,1,0.287453759,0.302107347,0.951495427,1.86E-06,0,0,5106.12724,-5,0.489607854,0.111759983,0,0,0.39599537,1.950875759,11.1140449,16.86632449,19.14357551,23.68348367,28.21317347,31.32753061,53.42142449,15.08855164
0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00192,12000,0,100000,0.007,1.00E-05,0.3,0.002589591,0.027026942,5.190873623,32.21065907,0.004017808,0.004191746,0.00429408,0.004544991,0.004837502,0.005050138,0.00751273,awE100000C12000D0.7dRatio0.55Case,1.94,1,2.96E-08,8.89E-05,0.532280453,0.548571429,0.22009126,0.413487399,0.970302909,7.61E-06,0,1328.656463,20991.2728,-5,0.571666145,0.095815168,3.654,185.3767412,0.309468756,2.532637635,0.631460494,0.82711358,0.947654321,1.256418519,1.69247037,2.052028395,6.982195062,0.000987463
0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00156,1000,0,0,0.0025,1.00E-05,0.01,0.000675661,0.012919224,8.515171051,80.17655357,0.003234557,0.003389897,0.003479791,0.003693806,0.003933882,0.004106636,0.006297351,R0.1D0.25d.3125Case,5,1,1.59E-08,4.77E-05,1.190585218,1.248,0.209094204,0.175623047,0.953994566,5.07E-06,0,0,2349.194179,-5,0.425677881,0.052298884,1.128,29.12607786,0.253920176,1.249465051,0.2407105,0.469137,0.568033,0.7886095,1.0630655,1.272285,4.330891,0.023741891
